tweet_id,favorite_count,retweet_count
671138694582165504,920,405
671141549288370177,1156,664
671147085991960577,670,228
671151324042559489,668,156
671154572044468225,711,220
671159727754231808,372,82
671163268581498880,1660,1114
671166507850801152,869,354
671182547775299584,1115,349
671186162933985280,736,212
671347597085433856,953,431
671355857343524864,481,115
671357843010908160,398,149
671362598324076544,1102,297
671390180817915904,1429,740
671485057807351808,758,234
671486386088865792,577,206
671488513339211776,1011,472
671497587707535361,913,452
671504605491109889,6997,3569
671511350426865664,1605,728
671518598289059840,953,292
671520732782923777,1401,531
671528761649688577,841,263
671533943490011136,1014,585
671536543010570240,1167,412
671538301157904385,928,398
671542985629241344,1089,567
671544874165002241,1973,1056
671547767500775424,1353,602
671550332464455680,912,209
671561002136281088,12793,7280
671729906628341761,8488,4389
671735591348891648,1446,759
671743150407421952,745,235
671744970634719232,1354,782
671763349865160704,1679,931
671768281401958400,1192,526
671789708968640512,7049,3513
671855973984772097,906,447
671866342182637568,1115,504
671874878652489728,1244,565
671879137494245376,1418,688
671882082306625538,3459,1390
671891728106971137,1332,581
671896809300709376,8484,4197
672068090318987265,1291,523
672082170312290304,940,372
672095186491711488,1005,372
672125275208069120,2405,1148
672139350159835138,1746,714
672160042234327040,871,360
672169685991993344,1016,371
672205392827572224,2263,1166
672222792075620352,782,214
672231046314901505,1831,1030
672239279297454080,893,326
672245253877968896,686,161
672248013293752320,1717,613
672254177670729728,1429,751
672256522047614977,2812,1567
672264251789176834,1139,340
672267570918129665,1495,620
672272411274932228,6443,3419
672466075045466113,1353,544
672475084225949696,1428,707
672481316919734272,717,126
672482722825261057,1133,606
672488522314567680,1110,445
672523490734551040,639,173
672538107540070400,1029,370
672591271085670400,721,185
672591762242805761,950,337
672594978741354496,1331,614
672604026190569472,1109,403
672609152938721280,1117,391
672614745925664768,1221,592
672622327801233409,1299,496
672640509974827008,978,327
672828477930868736,1258,500
672834301050937345,1312,577
672877615439593473,1032,371
672884426393653248,1547,842
672898206762672129,905,428
672902681409806336,1365,511
672964561327235073,1420,647
672968025906282496,1316,554
672970152493887488,946,361
672975131468300288,1683,918
672980819271634944,1827,1024
672984142909456390,1257,549
672988786805112832,987,297
672995267319328768,957,298
672997845381865473,1980,734
673148804208660480,1684,640
673213039743795200,2245,852
673240798075449344,1424,740
673270968295534593,1066,371
673295268553605120,7530,3196
673317986296586240,875,264
673320132811366400,13475,8056
673342308415348736,1268,592
673343217010679808,970,274
673345638550134785,2513,1288
673350198937153538,748,217
673352124999274496,1656,543
673355879178194945,1494,583
673359818736984064,1454,680
673363615379013632,1025,309
673576835670777856,1390,569
673580926094458881,835,274
673583129559498752,1187,370
673612854080196609,1597,731
673636718965334016,1102,365
673656262056419329,720,246
673662677122719744,1257,367
673680198160809984,1374,476
673686845050527744,1442,447
673688752737402881,1269,503
673689733134946305,1738,661
673697980713705472,3807,1983
673700254269775872,1447,578
673705679337693185,1257,407
673707060090052608,1101,398
673708611235921920,1089,295
673709992831262724,849,278
673711475735838725,1041,302
673715861853720576,3558,2111
673716320723169284,3090,759
673887867907739649,933,254
673906403526995968,3203,1644
673919437611909120,1171,376
673956914389192708,1953,974
674008982932058114,1200,364
674014384960745472,1567,658
674019345211760640,1135,305
674024893172875264,1796,1244
674036086168010753,850,216
674038233588723717,1107,422
674042553264685056,727,131
674045139690631169,1427,650
674051556661161984,1450,496
674053186244734976,3338,1323
674063288070742018,6396,2248
674075285688614912,988,294
674082852460433408,757,173
674255168825880576,1472,565
674262580978937856,1307,462
674265582246694913,1659,866
674269164442398721,909,228
674271431610523648,1575,744
674291837063053312,14804,6002
674307341513269249,11385,7093
674318007229923329,1427,525
674330906434379776,565,74
674372068062928900,852,321
674394782723014656,1515,584
674410619106390016,1204,475
674416750885273600,683,143
674422304705744896,1443,550
674436901579923456,1121,398
674447403907457024,1070,363
674468880899788800,6269,2103
674606911342424069,943,102
674632714662858753,1512,594
674638615994089473,1694,594
674644256330530816,1030,274
674646392044941312,1447,504
674664755118911488,929,260
674670581682434048,1611,665
674690135443775488,1150,480
674737130913071104,650,96
674739953134403584,1118,399
674742531037511680,494,51
674743008475090944,1419,563
674752233200820224,1471,479
674754018082705410,1370,460
674764817387900928,791,242
674767892831932416,1839,810
674774481756377088,1129,484
674781762103414784,2018,1231
674788554665512960,822,216
674790488185167872,1117,253
674793399141146624,2525,1110
674800520222154752,3046,879
674805413498527744,864,363
674999807681908736,2268,1123
675003128568291329,1569,484
675006312288268288,997,232
675015141583413248,2730,1228
675047298674663426,1069,336
675109292475830276,2820,1160
675111688094527488,975,260
675113801096802304,1967,804
675135153782571009,1309,507
675145476954566656,2159,924
675146535592706048,1204,318
675147105808306176,951,242
675149409102012420,3768,1721
675153376133427200,6339,2663
675166823650848770,3651,1653
675334060156301312,2804,1330
675349384339542016,3961,2318
675354435921575936,33077,17661
675362609739206656,1061,236
675372240448454658,1705,525
675432746517426176,1542,587
675483430902214656,1855,996
675489971617296384,1316,616
675497103322386432,3180,1335
